Column1,FormNumber,Question,Cluster,Topic_Keywords,Topic_Headline
0,1,Additional Comments,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
34,2, Additional Comments,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
634,35,Additional Comments for instructor,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
635,35,Additional Comments Regarding Clinical Experience,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
636,35,Additional Comments Regarding the Course,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1158,709,Please list any additional comments you have regarding this clerkship/course that have not been addressed above. ,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1218,712,Please list any additional comments you have regarding LIC (as a whole) that have not been addressed above.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1238,713,Please list any additional comments you have regarding this clerkship.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1322,718,Please list any additional comments you have regarding this course that have not been addressed above.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
1427,722,Please list any additional comments you have regarding this course.,0,"additional, comments, regarding, list, addressed",Topic: Additional Comments Regarding
30,1,This instructor's demonstration of respect for students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
61,2, This instructor's demonstration of respect for students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
175,5,This instructor’s demonstration of respect for students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
432,16,This instructors demonstration of respect for students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
469,18,This instructor’s demonstration of respect for all students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
587,24,The instructor's demonstration of respect for all students is:,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
891,146,The instructor's demonstration of respect for all students is,1,"demonstration, respect, students, instructor, instructors",Topic: Demonstration Respect Students
